Continent,Country,Province-eng,Province-chi,Town-eng,Town-chi,Source
North America,United States 美國,Arizona,亞利笋拿省,Jerome,枝槓埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Kingman,京文埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Kofa,稿吪埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Metcalf,覓卡扶埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Phoenix,匪匿埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Prescott,把市杰埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Tombstone,參市頓埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Nogales,那茄利埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Tucson,祖笋埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Winslow,穩市老埠,"Wong Kin, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Yuma,夭馬埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Alameda,亞罅必打埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Alleghany,亞利堅釐埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Alturas,達粗利市埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Alvarado,亞市孻度埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Alviso,亞兒懷所埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Anaheim,旦那堪埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Anderson,旦打愼埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Angels Camp,因乍路冚埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Antioch,坦地約埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Arbuckle,亞比咕埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Armona,亞滿拿埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Auburn,島畔埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Baker'S Ranch,廹架蘭珠埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Bakersfield,廹架市啡埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Benton,品頓埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Berkeley,卜忌利埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Biggs,廹士埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Bishop,比濕埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Bloomfield,佈槓啡路埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Bodie,貝地埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Burlingame,波崙錦埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Calistoga,卡李士都忌埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Callahan,卡罅顯埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Castroville,卡市委利埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Chico,主固埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Coalinga,故令古埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Colfax,卡路域士埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Colusa,高老沙埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Concord,港葛埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Courtland,葛崙埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Cucamonga,曲忌綱咕埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Daggett,即杰埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Davis,姊鼻市埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Dinuba,大都巴埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Dutch Flat,匿治夫力埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Folsom,火岑埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Forest Hill,吪市靴埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Fort Bragg,科比力埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Fowler,浮罅埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Fresno,斐市那埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Gilroy,結唻埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Grass Valley,加士華厘埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Guadalupe,和老比埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Hanford,顯佛埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Hayward,喜鬱埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Holt Station,可市姊臣埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Hueneme,懷念埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Ione,埃安埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Isleton,埃崙頓埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Jackson,昃臣埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Kern,乾罅埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,King City,頃失地埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Laporte,罅砵埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Laton,列頓埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Lemoore,李麼埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Livermore,笠巴麼埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Lodi,老底埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Lompoc,欖卜埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Loomis,林罷市埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Los Angeles,羅生埠 又名羅生忌利埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Los Banos,羅市扳那埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Madera,孖姐罅埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Martinez,孖剪埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Marysville,尾利允埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Mayfield,尾斐埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Mendocino,文都先那埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Menlo Park,尾李栢,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Merced,孖寫埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Michigan Bluff,尾士乾埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Modesto,孖姐市市度,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Mojave,務爪偉,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Mokelumne Hill,孖卡林汝喜利埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Monterey,綱地李埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Napa,笠巴埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Needles,汝路市埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Nevada City,那必地失地埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Newcastle,紐卡市埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,North Bloomfield,那扶布槓啡埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Oakland,屋崙埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Oakley,屋利埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Ontario,安姐利柯埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Orange,打粦珠埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Oroville,阿路委埠 又名阿吪埠 柯吪埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Oxnard,篤市匿埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Parlier,吧利亞埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Pasadena,把沙剪拿埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Penryn,板崙埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Petaluma,疋地老馬埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Placerville,巴市委埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Pleasanton,比李慎頓埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Point Arena,泮地亞粦那埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Red Bluff,笠布碌埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Redding,孻靜埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Redlands,冽連埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Reedley,力利埠 又名列利埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Rio Vista,孻委市地埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Riverside,笠巴洗埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Sacramento,沙加緬度埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Saint Helena,勝喜連拿埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Salinas,市連打市埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,San Bernardino,山班剪打埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,San Diego,山姐咕埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,San Francisco,舊金山大埠 又名三藩斯市哥埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,San Jose,山多些埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,San Luis Obispo,山藟島比市步,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,San Mateo,山孖酒埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,San Rafael,山亞啡路埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Santa Barbara,山地巴罷埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Santa Cruz,山地古路士埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Santa Marie,山地孖李埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Santa Rosa,山地老沙埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Saticoy,山地盖埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Sebastopol,士巴士步埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Selma,舍路馬埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Sisson,矢愼埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Sonora,市那刺埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Stockton,士則頓埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Tehama,坎下埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Tulare,都罅利埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Ukiah,夭啓埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Vacaville,域加委埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Vallejo,尾李賀埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Ventura,呍秋罅埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Vina,懷乃埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Visalia,快些厘埠,"Wong Kin, 1913"
North America,United States 美國,California,加罅寬尼省,Vorden,屈頓埠,"Wong Kin, 1913"
